rank,uid,username,type
1,11933095,靑鋆子,提督
2,3546629982391157,yuewuliu,提督
3,9132259,两仪x鲜花,舰长
4,6212286,无糖全麦跑快快ovO,舰长
5,3546379116874663,硅锂碳,舰长
6,15042777,山溺深海中-,舰长
7,21569680,嚣张九宝Suki,舰长
8,9970815,-古原-,舰长
9,355281320,芝士小狼重度依赖,舰长
10,2128396904,孤独的圥忈Suki,舰长
11,49789973,Mikanikos,舰长
12,427650007,做一个周星星,舰长
13,1826474,黄油君有中二病,舰长
14,330374082,晨晨Suki,舰长
15,3546754117011643,J830,舰长
16,52935049,若夕倾城,舰长
17,188899065,浅辰清风Suki,舰长
18,30376551,飞羽心海suki,舰长
19,350971650,-14XIV-,舰长
20,152391326,木槿忆年,舰长
21,1612973992,白篠篠,舰长
22,322232173,DD_Suki,舰长
23,11633408,两块奥利奥,舰长
24,1408055691,Onisama不想熬夜,舰长
25,397177931,慕雪听风Suki,舰长
26,399942744,百摆晓,舰长
27,313692286,今天还是优雅的马枪佬,舰长
28,5147381,从小就暗恋小茶的cc,舰长
29,3546606590757032,最强白礼攻击天照,舰长
30,402444314,玄鹤公子,舰长
31,6137110,心静淼落,舰长
32,496916630,贫穷贵公子-,舰长
33,539110,是芜狛哒,舰长
34,76782019,-kaller-,舰长
35,3494361880856991,可洛Cro_,舰长
36,436193300,乆刕,舰长
37,446957357,战术人形AK-74MSuki,舰长
38,3493277313534134,树礼Suki,舰长
39,19848741,hopeafer,舰长
40,510033481,大头雪人嘤落落,舰长
41,325787946,小狼兰Suki,舰长
42,2824262,八瓣儿Channel,舰长
43,102566920,fangkkkkkkk,舰长
44,291102,鸣琴酌酒,舰长
45,475725879,我看你长得像娃娃菜,舰长
46,3546682648168732,三一六_,舰长
47,1144070663,你也是路边一条,舰长
48,3494351434943109,皓天Sweet,舰长
49,5080770,浮樱拾梦,舰长
50,9902785,X轩万,舰长
51,3546736790342345,十三月只想唱歌,舰长
52,359193228,Cristaux,舰长
53,3494370166704742,玉京子Kyouko,舰长
54,372726414,cheong962,舰长
55,596521475,皮斯克塔塔开,舰长
56,9356968,李马马,舰长
57,18268124,法师拾柒,舰长
58,232048703,雨寒今天也要努力练琴,舰长
59,1659940842,沉底的河里人,舰长
60,453395454,青蛙型锂电池机器人001,舰长
61,674861160,新能源飞轮,舰长
62,10129656,纸风车⑤,舰长
63,1102356904,fengyeの小号,舰长
64,336642076,PoohBさん,舰长
65,28817610,ひょう酱,舰长
66,1456628,爱丽丝の玛格特罗依德,舰长
67,457319512,星空唔想训觉_Gin,舰长
68,3493118104045766,肃如秋,舰长
69,491432,惡靈降世,舰长
70,3546678730689059,呼呼呼Astl,舰长
71,50839399,RandyRhoadss,舰长
72,355820646,雾深的宠物狗,舰长
73,3546725165828106,Jean_Rousseau,舰长
74,2073886917,张鱼limit丸子,舰长
75,389684880,yy青文,舰长
76,419263510,绘梨衣会很乖-86冠,舰长
77,1783613,是清辉鸭,舰长
78,1776469199,mid姐,舰长
79,16105319,雪国朱砂白月光,舰长
80,127197,离木目,舰长
