rank,uid,username,type
1,9132259,両義Suki,提督
2,6212286,第五弹弹Listania,提督
3,2762720,谐角天星,提督
4,1263426985,-代号M-,提督
5,273906305,绿缕铝驴,提督
6,9970815,-古原-,提督
7,29619071,花间音Huahaiye,提督
8,476888066,王也道长亿贫如洗suki,提督
9,399566922,细腻牛suki,提督
10,433417622,公主的玻璃冠,提督
11,554376734,闲雲づ,提督
12,480442,埖開埖謝,舰长
13,171018323,撩见星空,舰长
14,25395080,这里是咸鱼王,舰长
15,355281320,从负到零01,舰长
16,15042777,失眠小狗Suki,舰长
17,82361400,紫陽花-の葉,舰长
18,26158702,小猫蛋卷Official,舰长
19,6982193,依旧被命运裹挟,舰长
20,2147232287,东风盛时燃起,舰长
21,350128662,这里是梨洛洛呀,舰长
22,73840919,心情超好心态超棒,舰长
23,2128396904,纯-圥忈,舰长
24,18769503,世人皆知桃夭,舰长
25,49789973,Mikanikos,舰长
26,330374082,翊晨Suki,舰长
27,1051397284,-杜衡,舰长
28,9029105,青灯火月,舰长
29,11881867,半曲恋枫雪,舰长
30,30262687,贝格耶喽,舰长
31,309880383,向日葵大魔王,舰长
32,697737710,蝶蝶Hikari,舰长
33,350971650,-石思Ameki-,舰长
34,156985056,如梦亭阁suki,舰长
35,40191264,鉴观,舰长
36,1686348,神出鬼没的天小劫,舰长
37,18171692,神明不语,舰长
38,3563525,東山小鳥,舰长
39,301906464,咖喱猴kiki,舰长
40,396906793,青辰_刃星Root,舰长
41,30376551,飞羽心海,舰长
42,57224112,谢冬瓜,舰长
43,152391326,木槿Suki,舰长
44,163674276,虚烨SnowOwl,舰长
45,399942744,百摆晓,舰长
46,335695075,七海霧雨,舰长
47,313692286,今天还是优雅的马枪佬,舰长
48,1310738499,星辰之上vivo50,舰长
49,139238131,茶会的贝斯,舰长
50,1079963319,不太牛逼,舰长
51,53006587,南笙浅梦墨离,舰长
52,188899065,浅辰清风Suki,舰长
53,15806523,马星瞳老师,舰长
54,368345077,詞邛,舰长
55,407405442,悠悠の小二,舰长
56,382752981,圆焰赛高-,舰长
57,5599585,慵懒的柒然,舰长
58,446123359,梦幻之星GTY,舰长
59,322232173,DD_Suki,舰长
60,478458678,是敏的龙崽子,舰长
61,539110,是芜狛哒,舰长
62,5091576,噗通的抹阳,舰长
63,27227521,Hui_Geng,舰长
64,157807163,洛玖遥Suki,舰长
65,431241978,疏影TFA,舰长
66,439042720,二十七是二十七,舰长
67,443299188,偉大的賽佛瑞斯,舰长
68,285319085,粉色肥肠,舰长
69,381696485,树礼Sukiの青沟子,舰长
70,107821180,阳落霞起月初升,舰长
71,1445359,邪恶-双子璃拉,舰长
72,15178187,晚晚跌跌撞撞,舰长
73,436193300,乆刕,舰长
74,12734361,星辰Hikari,舰长
75,215888780,虞惜在流浪,舰长
76,310090052,果味苏打ソーダ,舰长
77,3461580970788970,夏沫入雨,舰长
78,298134792,崩坏的栗子_108番,舰长
79,29959064,月由心,舰长
80,8180280,可口苦乐,舰长
81,16272474,千羽零音,舰长
82,2515986,_西瓜w,舰长
83,1417272,薰风灬习习,舰长
84,678216557,辛幼鸢,舰长
85,668004283,余额两位数の网友小久,舰长
86,207020650,微微暖风沁心笑,舰长
87,441054703,怠惰な大王,舰长
88,32386,Nero·Augustus,舰长
89,320262697,那一夜她未满十八,舰长
90,399214970,南柯梦醒梦suki,舰长
91,258782190,可做观赏植物也可药用,舰长
92,428353346,一叶知秋是只鸡,舰长
93,14551578,镐垨金土,舰长
94,5986897,绫月汐Shio,舰长
95,282990125,流云逐月华,舰长
96,271887040,Hooxi_Official,舰长
97,3040872,濑俍飒SeraHayate,舰长
98,4329086,落叶秋之殇,舰长
99,1622627830,风和石头和树,舰长
100,2645708,暗之音魂,舰长
101,54047660,水泊然,舰长
102,291912423,Triple晶,舰长
103,1313215785,海w限,舰长
104,310683418,刹那永恒m,舰长
105,626591264,小洛醉逍遥,舰长
106,24726300,沭海洆洲,舰长
107,240690,KamioRinn,舰长
108,1699110,夏染Sama丶,舰长
109,402444314,玄鹤公子,舰长
110,496916630,贫穷贵公子-,舰长
111,1538590,指尖有萝卜28级牌子了,舰长
112,24098234,缘丶枫,舰长
113,399224926,生姜xx,舰长
114,166688322,佩可PEKO,舰长
115,14129528,黄青o_o,舰长
116,320585810,TZ朧雪,舰长
117,283297256,遇礼逢春,舰长
118,141849512,Tearsta1ns,舰长
119,20476319,结城明月奈,舰长
120,233631650,Cray_1,舰长
121,176807678,凛黎Linli,舰长
122,3546640138897583,楓闇宮寒葉,舰长
123,326507020,KxMTK,舰长
124,583226367,知无不言_言无不尽,舰长
125,359720322,总被喜新厌旧的桑柘树,舰长
126,27735289,祝芙礼Rei_爆炸奶芙,舰长
127,2113929375,Sugelifen,舰长
128,185910026,烟花hanab,舰长
129,12688040,岛林Woo,舰长
130,53556339,游吟白羽,舰长
131,384552727,海猫不给劲儿,舰长
132,8249922,真姬关枪,舰长
133,443700816,Amocter,舰长
134,354288418,苍术lemon,舰长
135,3494361675336617,库宝official,舰长
136,187625577,牌K,舰长
