rank,uid,username,type
1,427650007,做一个周星星,提督
2,52935049,若夕倾城,提督
3,173011477,安卓逻辑安卓人,提督
4,9132259,两仪x鲜花,舰长
5,6212286,残弹一発,舰长
6,15042777,失眠小狗Suki,舰长
7,9970815,-古原-,舰长
8,2128396904,故人倾梦Suki,舰长
9,49789973,Mikanikos,舰长
10,330374082,晨晨Suki,舰长
11,1826474,黄油君有中二病,舰长
12,356925549,E300L型劣质照片制造机,舰长
13,12227881,冰蓝绪心,舰长
14,483136585,蓝莓小猫の重度依赖,舰长
15,1144070663,你也是路边一条,舰长
16,1612973992,白篠篠,舰长
17,188899065,浅辰清风Suki,舰长
18,11933095,靑鋆子,舰长
19,499033338,独角兽的孤独角,舰长
20,30376551,飞羽心海suki,舰长
21,322232173,DD_Suki,舰长
22,350971650,-14XIV-,舰长
23,152391326,木槿忆年,舰长
24,2147232287,东风盛时燃起,舰长
25,399942744,百摆晓,舰长
26,350128662,这里是梨洛洛呀,舰长
27,2824262,八瓣儿Channel,舰长
28,3546629982391157,yuewuliu,舰长
29,3632299264444731,拂萝,舰长
30,5147381,从小就暗恋小茶的cc,舰长
31,1935810245,木槿Sally,舰长
32,475725879,我看你长得像娃娃菜,舰长
33,1967733017,撅撅suki,舰长
34,3493277313534134,树礼Suki,舰长
35,76782019,-kaller-,舰长
36,381529031,秋墨绫,舰长
37,3494351434943109,皓天斯威特,舰长
38,436193300,乆刕,舰长
39,446957357,战术人形AK-74MSuki,舰长
40,325787946,小狼兰Suki,舰长
41,367295640,水晶胡萝卜丶,舰长
42,399214970,南柯梦醒梦suki,舰长
43,2804862,中华田园U,舰长
44,20461602,三玖琳Rin,舰长
45,399844534,雨打蕉叶又潇潇了几回,舰长
46,86105475,是我闲人君いえ,舰长
47,39666243,御坂ヽ20001,舰长
48,19319637,星云Nebulous,舰长
49,181100688,冰绒の离谱,舰长
50,457319512,星空唔想训觉_Gin,舰长
51,8657762,金Au银Ag,舰长
52,350347455,沐雨非离,舰长
53,10935080,无头骑士阿卡林,舰长
54,23792841,凌空zering,舰长
55,93535952,云微风nya,舰长
56,28275706,铃兰白,舰长
57,349495707,JOseph-JOestar_,舰长
58,49631088,帮我拆机甲_,舰长
59,12364173,十六夜H咲夜,舰长
60,598695062,果子太酸,舰长
61,91414942,小灰灰睡不饱,舰长
62,3493088565659926,折日常磐,舰长
63,484681091,王der发,舰长
