rank,uid,username,type
1,427650007,做一个周星星,提督
2,1967733017,撅撅suki,提督
3,160059904,一梦honey,提督
4,9132259,两仪x鲜花,舰长
5,6212286,残弹発了,舰长
6,15042777,失眠小狗Suki,舰长
7,52935049,若夕倾城,舰长
8,1144070663,你也是路边一条,舰长
9,476888066,蓝色牢狼饱饱の王也,舰长
10,173011477,安卓逻辑安卓人,舰长
11,439249128,糯糯_Neko,舰长
12,2128396904,故人倾梦Suki,舰长
13,483136585,蓝莓小猫依赖症,舰长
14,355281320,收礼suki,舰长
15,330374082,晨晨Suki,舰长
16,1612973992,白篠篠,舰长
17,49789973,Mikanikos,舰长
18,12227881,冰蓝绪心,舰长
19,3546629982391157,yuewuliu,舰长
20,11933095,靑鋆子,舰长
21,188899065,浅辰清风Suki,舰长
22,381529031,秋墨绫,舰长
23,368345077,詞邛,舰长
24,322232173,DD_Suki,舰长
25,350971650,-14XIV-,舰长
26,475725879,我看你长得像娃娃菜,舰长
27,2147232287,东风盛时燃起,舰长
28,399942744,百摆晓,舰长
29,2824262,八瓣儿Channel,舰长
30,18171692,神明不语,舰长
31,1935810245,木槿Sally,舰长
32,76782019,-kaller-,舰长
33,208022014,刀口力人臣,舰长
34,3493277313534134,树礼Suki,舰长
35,309880383,向日葵大魔王,舰长
36,163674276,虚烨SnowOwl,舰长
37,3494351434943109,皓天斯威特,舰长
38,351528441,皮牙几,舰长
39,367295640,水晶胡萝卜丶,舰长
40,539110,是芜狛哒,舰长
41,41027012,zhilizhiwai,舰长
42,5091576,噗通的抹阳,舰长
43,20461602,三玖琳Rin,舰长
44,39666243,御坂ヽ20001,舰长
45,29070354,魔法少女普朗克-,舰长
46,157807163,洛玖遥_Rokua,舰长
47,457319512,星空唔想训觉_Gin,舰长
48,3546736790342345,一双意翼,舰长
49,459451,独步天下老花间,舰长
50,261365601,九霄肆霄肆,舰长
51,1041614547,落雨染樱,舰长
52,8657762,金Au银Ag,舰长
53,23792841,凌空zering,舰长
54,42838547,下腹抽抽,舰长
55,349495707,JOseph-JOestar_,舰长
56,15121216,点燃小狗Suki,舰长
57,37206381,流连幻夜,舰长
58,598695062,果子太酸,舰长
59,60022567,账号已注销,舰长
60,12364173,十六夜H咲夜,舰长
61,177786,WTFHeroman,舰长
62,528746345,k4ksaw,舰长
63,409778757,云愈深,舰长
64,1323825404,parrotsyh,舰长
65,1307086812,吉米就是吉米呦,舰长
66,3546911785093506,局外常量,舰长
67,573070,斯月维夏,舰长
68,361774316,贞德小姐大胜利,舰长
69,105043,超电磁の葛炮,舰长
70,352794960,W1soul,舰长
71,21496782,cn1349chen,舰长
72,397428291,米饭配什么好,舰长
73,300611955,蟹蟹蟹蟹蟹一顿五碗饭,舰长
74,28647475,Urobolus_0,舰长
75,3546664474249446,醉墨题枫犹念雪,舰长
76,3546770866965327,k4ksee,舰长
77,3546802936613706,芙蕾德莉卡_,舰长
