rank,uid,username,type
1,427650007,做一个周星星,提督
2,1144070663,你也是路边一条,提督
3,1967733017,撅撅suki,提督
4,160059904,一梦honey,提督
5,11933095,靑鋆子,提督
6,3546629982391157,yuewuliu,提督
7,9132259,两仪x鲜花,舰长
8,6212286,ta要吃人啦,舰长
9,15042777,失眠小狗Suki,舰长
10,9970815,-古原-,舰长
11,52935049,若夕倾城,舰长
12,173011477,我是旮旯game高手,舰长
13,483136585,点燃小狗Rich,舰长
14,476888066,蓝色牢狼饱饱の王也,舰长
15,2128396904,故人倾梦Suki,舰长
16,381529031,秋墨绫,舰长
17,1612973992,白篠篠,舰长
18,330374082,晨晨Suki,舰长
19,49789973,Mikanikos,舰长
20,1826474,黄油君有中二病,舰长
21,475725879,我看你长得像娃娃菜,舰长
22,3546911785093506,局外常量,舰长
23,188899065,浅辰清风Suki,舰长
24,182529,忍不住的阿北,舰长
25,322232173,DD_Suki,舰长
26,2824262,八瓣儿Channel,舰长
27,350971650,-14XIV-,舰长
28,368345077,詞邛,舰长
29,30376551,飞羽心海suki,舰长
30,399942744,百摆晓,舰长
31,1935810245,木槿Sally,舰长
32,152391326,木槿忆年,舰长
33,208022014,刀口力人臣,舰长
34,18171692,神明不语,舰长
35,396906793,青辰_刃星Root,舰长
36,3493277313534134,树礼Suki,舰长
37,3494351434943109,皓天斯威特,舰长
38,351528441,皮牙几,舰长
39,1408055691,Onisama不想熬夜,舰长
40,5147381,工蜂8566,舰长
41,6137110,心静淼落,舰长
42,23368664,雨点不清楚你已抛低我,舰长
43,139238131,茶会的贝斯,舰长
44,1210755601,树礼すき,舰长
45,163674276,虚烨SnowOwl,舰长
46,496916630,贫穷贵公子-,舰长
47,367295640,水晶胡萝卜丶,舰长
48,539110,是芜狛哒,舰长
49,5091576,噗通的抹阳,舰长
50,20461602,三玖琳Rin,舰长
51,446957357,战术人形AK-74MSuki,舰长
52,678216557,鸢suki,舰长
53,325787946,小狼兰Suki,舰长
54,436193300,乆刕,舰长
55,5899061,摸鱼某三,舰长
56,3494361880856991,可洛Cro_,舰长
57,3546736790342345,一双意翼,舰长
58,24979628,Chromium__,舰长
59,11422845,锛绘莱士,舰长
60,5080770,浮樱拾梦,舰长
61,4977135,婴立贝,舰长
62,457319512,星空唔想训觉NASA,舰长
63,8657762,金Au银Ag,舰长
64,261365601,九霄肆霄肆,舰长
65,3020305,小信士,舰长
66,341129086,一无是处的白纸片,舰长
67,9958529,无界_bracket,舰长
68,1041614547,落雨染樱,舰长
69,300611955,蟹蟹蟹蟹蟹一顿五碗饭,舰长
70,20560313,苟祸,舰长
71,15121216,抵达过去的姬奇猫,舰长
72,687140302,树礼の502,舰长
73,502835635,森陌mo,舰长
74,3546601339488588,SankeSuki,舰长
75,1456628,爱丽丝の玛格特罗依德,舰长
76,598695062,果子太酸,舰长
77,10806945,魂吞玛瑙,舰长
78,454833269,岚离_IX,舰长
79,447515741,清色弦歌-Channel,舰长
80,311778604,黄昏之风日,舰长
81,5079435,金币丶,舰长
82,2645708,暗之音魂,舰长
83,57729978,彼乌埃维奇,舰长
84,369241248,望风海岸,舰长
85,12364173,十六夜H咲夜,舰长
86,573070,斯月维夏,舰长
87,87164020,葬仪家的银河鸽鸽,舰长
88,261106,固态企鹅毛,舰长
89,481725,羊叽甘露,舰长
90,2727161,调味烈焰术士,舰长
91,409854293,双绣_fm,舰长
92,3494370166704742,玉京子Kyouko,舰长
93,441917640,爱学习的小叨叨,舰长
94,1496907120,安斯Ensy,舰长
95,14913464,是晚风啊ヾ,舰长
96,474035467,伊井织Hanako,舰长
97,1001251096,黑史莱姆,舰长
98,38660164,冻恼鲸,舰长
99,3546657987759037,研朔里脊,舰长
100,505468219,白菜灌饼,舰长
101,454595357,AAA骨猫杀手,舰长
102,506385132,追曼波的人,舰长
103,1585380237,OvO的棉羊,舰长
104,11480897,冰蓝之翼,舰长
105,3546969882495154,悲伤烤土豆vv,舰长
106,401035836,Zodiac小六,舰长
107,669233679,想要起个好名字全被占,舰长
108,3493074621696385,沐风簌Ale,舰长
109,3546862049037031,大雷Reecharge,舰长
110,206093263,bass-_-,舰长
111,224679463,啤酒稍烤,舰长
112,3546707939822482,淽雪苍蓝,舰长
113,4132737,黄金恶魔,舰长
114,4001576,狂牲李子,舰长
115,453383586,捉不到鱼的茗,舰长
116,496395698,Red-Crane,舰长
117,3706937571019447,早川璃的男仆,舰长
118,3493139983633114,巧灵兮cholinc,舰长
